rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
223,Topaz Restaurant,https://www.zomato.com/jaipur/topaz-restaurant-mi-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Natraj, Ganpati Plaza, Motilal Atal Road, MI Road, Jaipur",Jaipur,26.9205599608,75.7979865745,7:30am – 10:45pm (Mon-Sun),4.5,"North Indian, Chinese, Fast Food","['Lunch', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Axis Bank - Dining Delights', 'Wifi', 'Pure Veg', 'Table Reservation Not Required']"
224,Socorro - Crowne Plaza Jaipur,https://www.zomato.com/jaipur/socorro-crowne-plaza-jaipur-tonk-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Crowne Plaza Jaipur, SP 1, Sitapura, Tonk Road, Jaipur",Jaipur,26.7801149877,75.8277755231,6:30 AM to 11 PM,4.5,"North Indian, Rajasthani, Chinese","['Credit Card', 'Dinner', 'Cash', 'Serves Alcohol', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', '4/5 Star', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Live Music', 'Table reservation required', 'Wheelchair Accessible', 'Buffet']"
225,Highway Kebabs & Curries Company,https://www.zomato.com/jaipur/highway-kebabs-curries-company-achrol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"228 KM Stone, Near Tala Mod, Syrai-Achrol, Delhi - Jaipur Highway, Achrol, Jaipur",Jaipur,27.158671,75.960341,10 AM to 12 Midnight,4.5,"North Indian, Mughlai, Chinese, Kebab","['Lunch', 'Cash', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Table booking recommended', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area']"
226,Trove Cafe And Lounge,https://www.zomato.com/jaipur/trove-cafe-and-lounge-bani-park?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Devraj Niwas, Khasa Kothi Flyover, Near Moti Mahal Cinema, Bani Park, Jaipur",Jaipur,26.921446,75.793505,12noon – 2am (Mon-Sun),4.5,"North Indian, Italian, Finger Food","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Credit Card', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Live Sports Screening', 'Valet Parking Available', 'Fullbar', 'Live Music', 'Rooftop', 'Air Conditioned', 'Smoking Area', 'Nightlife']"
227,Biryani By Masaalchis,https://www.zomato.com/jaipur/biryani-by-masaalchis-1-c-scheme?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"F143, Azad Marg, C Scheme, Jaipur",Jaipur,26.910009436,75.79695191229999,12 Noon to 12 Midnight,4.5,"Biryani, North Indian, Kebab","['Lunch', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Digital Payments Accepted']"
228,Jaipur Local,https://www.zomato.com/jaipur/jaipur-local-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"H 12, Lal Bahadur Nagar, Opposite Genpact Sl Marg Malviya Nagar, Jaipur",Jaipur,26.849155,75.802147,11 AM to 11 PM,4.5,North Indian,"['Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Pure Veg', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted']"
229,The Capetown,https://www.zomato.com/jaipur/the-capetown-bais-godam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4th Floor, S.B. Tower, Sahkar Marg, Bais Godam, Jaipur",Jaipur,26.8982436801,75.7936511189,"1pm – 2am (Mon-Thu),1pm – 3am (Fri-Sun)",4.4,"North Indian, Continental, Italian, Thai","['Dinner', 'Cash', 'Debit Card', 'Takeaway Available', 'Lunch', 'Credit Card', 'Live Sports Screening', 'Live Music', 'Rooftop', 'Digital Payments Accepted', 'Wifi', 'Nightlife', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'DJ']"
230,La Palma Cafe and Lounge Bar,https://www.zomato.com/jaipur/la-palma-cafe-and-lounge-bar-c-scheme?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Hotel Garden View, Subhash Marg, Near Ahinsa Circle, C Scheme, Jaipur",Jaipur,26.9140697006,75.8047148958,9am – 12midnight (Mon-Sun),4.4,"Italian, European, Continental","['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Nightlife', 'Fullbar', 'Live Music', 'Table booking recommended', 'Wifi', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Smoking Area']"
231,Midnight Vegas,https://www.zomato.com/jaipur/midnight-vegas-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11/01, 4th Floor, Girdhar Marg, Malviya Nagar, Jaipur",Jaipur,26.8433157313,75.8146900311,"12 Noon to 12 Midnight (Mon-Fri), 12 Noon to 1 AM (Sat-Sun)",4.4,"North Indian, Continental, Chinese, Italian","['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'DJ', 'Nightlife', 'Valet Parking Available', 'Wine', 'Live Music', 'Rooftop', 'Digital Payments Accepted', 'Wifi', 'Live Sports Screening', 'Sports TV', 'Outdoor Seating', 'Beer', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Smoking Area']"
232,Curious Life Coffee Roasters,https://www.zomato.com/jaipur/curious-life-coffee-roasters-c-scheme?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"C 54 A, Sarojini Marg, C Scheme, Jaipur",Jaipur,26.909339737,75.80874022100001,8am – 10pm (Mon-Sun),4.4,Cafe,"['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Credit Card', 'Breakfast', 'Outdoor Seating', 'All Day Breakfast', 'Indoor Seating', 'Air Conditioned', 'Smoking Area']"
