,rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
4108,4109,The Jodhpur Coffee House,https://www.zomato.com/jodhpur/the-jodhpur-coffee-house-rawaton-ka-bass?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"High Court Road, Nai Sarak Chouraha, Rawaton ka bass, Jodhpur",Jodhpur,26.2886295514,73.02645295859999,11 AM to 11 PM,3.4,"South Indian, North Indian, Beverages, Chinese","['Dinner', 'Cash', 'Breakfast', 'Takeaway Available', 'Pure Veg', 'Digital Payments Accepted', 'Air Conditioned', 'Indoor Seating']"
4109,4110,Red Chilli,https://www.zomato.com/jodhpur/red-chilli-air-force-area?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"32, PWD Colony, Air Force Area, Jodhpur",Jodhpur,26.2717577524,73.0225272104,9 AM to 11 PM,3.8,"North Indian, Mexican, Italian, South Indian, Chinese, Burger, Sandwich","['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted']"
4110,4111,Shree Kissan Bhojnalay,https://www.zomato.com/jodhpur/shree-kissan-bhojnalay-sardarpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"618, Residency Road, Pal Road Circle, Sardarpura, Jodhpur",Jodhpur,26.2763139181,73.0024015903,9 AM to 11 PM,3.7,North Indian,"['Lunch', 'Breakfast', 'Takeaway Available', 'Cash', 'Dinner', 'Indoor Seating', 'Pure Veg']"
4117,4118,Naivedyam,https://www.zomato.com/jodhpur/naivedyam-sardarpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Jaljog Chauraha, Sardarpura, Bhagat Ki Kothi, Jodhpur",Jodhpur,26.2731885069,73.0060172081,8:30 AM to 11 PM,3.8,Fast Food,"['No Seating Available', 'Lunch', 'Breakfast', 'Takeaway Available', 'Cash', 'Dinner', 'Pure Veg']"
4119,4120,B Modern Restaurant,https://www.zomato.com/jodhpur/b-modern-restaurant-paota?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Mandore Road, Dharmnarayan Hatha, Paota, Jodhpur, Rajasthan",Jodhpur,26.2965377665,73.0384880304,8 AM to 11 PM,3.5,North Indian,"['Breakfast', 'Lunch', 'Takeaway Available', 'Cash', 'Dinner', 'Indoor Seating', 'Pure Veg']"
4122,4123,D Cafe,https://www.zomato.com/jodhpur/d-cafe-ratanada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2B, Bhati Bhawan, Near Mandi Ratanada, Ratanada, Jodhpur",Jodhpur,26.2727134948,73.0339550972,10 AM to 11 PM,3.5,"Beverages, Fast Food","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating', 'Air Conditioned', 'Brunch']"
4125,4126,Samarth Eatery,https://www.zomato.com/jodhpur/samarth-eatery-air-force-area?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"91, East Patel Nagar, Near Beniwal Hotel, Ganeshpura, Ratanada, Air Force Area, Jodhpur",Jodhpur,26.278856,73.037809,10 AM to 11 PM,3.6,North Indian,"['Lunch', 'Cash', 'Dinner', 'Takeaway Available', 'Breakfast', 'Pure Veg']"
4130,4131,Dagley,https://www.zomato.com/jodhpur/dagley-kabir-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Killi Khana Naya Bass, Near Makrana Mohalla, Kabir Nagar, Jodhpur",Jodhpur,26.2972498371,73.0217061192,8 AM to 11 PM,3.2,North Indian,"['Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Breakfast', 'Rooftop', 'Digital Payments Accepted', 'Indoor Seating']"
4132,4133,The Family Marwari Restaurant,https://www.zomato.com/jodhpur/the-family-marwari-restaurant-magra-punjla?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop no.13, Shiphouse road, Near Baldev Ram Mirdha Circle,Paota jodhpur",Jodhpur,26.29502,73.035541,8 AM to 12 Midnight,3.3,North Indian,"['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']"
4134,4135,The Food Chain,https://www.zomato.com/jodhpur/the-food-chain-paota?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2, Near Dharma Honda, Rai Ka Bagh, Paota, Jodhpur",Jodhpur,26.2878224377,73.0368421599,9 AM to 11 PM,3.3,"North Indian, Chinese, Fast Food, Beverages","['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']"
4139,4140,Shree Vatika Restaurant,https://www.zomato.com/jodhpur/shree-vatika-restaurant-basni?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Main Kuri Bhagtasani, Housing Board Road, K.K Colony, Rameshwar Nagar, Basni, Jodhpur",Jodhpur,26.214222,73.013907,9 AM to 11 PM,3.1,North Indian,"['Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Indoor Seating', 'Pure Veg']"
4140,4141,Hotel Shyam Excellency,https://www.zomato.com/jodhpur/hotel-shyam-excellency-sardarpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Shyam Excellency 12th pal road near Jai Kishan tractor ward 20 Jodhpur, Sardarpura, Jodhpur",Jodhpur,26.275635,73.000714,10 AM to 11 PM,3.1,North Indian,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'All Day Breakfast', 'Brunch', 'Digital Payments Accepted']"
4144,4145,Paprika Cafe & Restaurant,https://www.zomato.com/jodhpur/paprika-cafe-restaurant-cantt-area?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Sandhu Palace Hotel Circuit House Road, Ajit Colony, Cantt Area, Jodhpur",Jodhpur,26.285354,73.037827,7 AM to 11 PM,3.1,"Fast Food, North Indian, Rajasthani, Desserts","['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Delivery', 'Live Music', 'Free Wifi', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']"
4150,4151,"Idli, Sambhar & Pulao",https://www.zomato.com/jodhpur/idli-sambhar-pulao-sardarpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Railway Station, Station Road, Jodhpur, Rajasthan",Jodhpur,26.2843780881,73.0214479566,6:30 AM to 10:30 PM,3.1,"South Indian, North Indian","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating']"
4153,4154,Purso Restaurant,https://www.zomato.com/jodhpur/purso-restaurant-ratanada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Central School Near Polo Graound Airforce Jodhpur, Ratanada, Jodhpur",Jodhpur,26.277623,73.032245,1 PM to 10:30 PM,0.0,"Roast Chicken, North Indian","['Takeaway Available', 'Dinner', 'Breakfast', 'Cash', 'Lunch', 'Outdoor Seating', 'Smoking Area']"
4159,4160,Kohetoor Hotel,https://www.zomato.com/jodhpur/kohetoor-hotel-sardarpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Jodhpur Railway Station, Sardarpura, Jodhpur",Jodhpur,26.2843531374,73.02208229899999,10 AM to 12 Midnight,0.0,North Indian,"['Cash', 'Lunch', 'Takeaway Available', 'Breakfast', 'Dinner', 'Indoor Seating']"
4160,4161,Khatri Sweet Home,https://www.zomato.com/jodhpur/khatri-sweet-home-chopasni-housing-board?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Das dukan, Chopasani Road, Chopasni Housing Board, Jodhpur",Jodhpur,26.273934,72.982365,7:30 AM to 11 PM,3.1,Street Food,"['Cash', 'Breakfast', 'Lunch', 'Takeaway Available', 'Indoor Seating']"
