hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
62,Umaid Bhawan,,,"['Parking included', 'Laundry', 'Pool', 'Restaurant', 'Housekeeping', 'Babysitting']","D1-2A Behind collectorate, Jaipur, Rajasthan, 302016",Jaipur,India,"26.927819, 75.789031",91
63,Khatu Haveli,4.8,Exceptional,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","Uniyaron Ka Rasta, Chandpole Bazar, Jaipur, Rajasthan, 302001",Jaipur,India,"26.929741, 75.811546",45
64,Le Méridien Jaipur Resort & Spa,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Number 1, RIICO, Amer, Rajasthan, 302028",Jaipur,India,"27.032676, 75.888939",162
65,Regenta Inn Jaipur,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","B-31 , Govind Marg, Near Baraf Khana Gossing, Jaipur, Rajasthan, 302004",Jaipur,India,"26.901939, 75.836112",42
66,Arya Niwas,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Sansar Chandra Road, Behind Amber Tower, Jaipur, Rajasthan, 302001",Jaipur,India,"26.921054, 75.804644",28
68,Hotel The Livin,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Gym']","Plot no 17-18 Subhash Nagar, Shastri Nagar, Near Science Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.939205, 75.79688",40
69,Rajputana Diaries,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Restaurant', 'Breakfast available', 'Room service']","Sawai Jai Singh Hwy, Jaipur, RJ, 302016",Jaipur,India,"26.926727, 75.7905",15
70,Tara Niwas,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant']","B-22/B, Shiv Marg, Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.926963, 75.794872",19
71,Castle Kanota,,,"['Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant', 'Gym']","Ganesh Vihar Colony, Kanota, Agra Road, Jaipur, Jaipur, RJ, 303012",Jaipur,India,"26.872086, 75.94959",92
72,OYO 35787 Hotel Lily Bay Prime,,,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Business services', 'Housekeeping']","C-303,Siddharth Nagar,Jawahar Circle, Sangam Clny, Chainpura, Jagatpura, Jaipur, Rajasthan, 302029",Jaipur,India,"26.832667, 75.807771",61
73,Hotel The Grand Kukas,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Plot no 67, Royal City, Jaipur-Delhi Highway, Jamwa Ramgarh, Rajasthan, 302028",Jaipur,India,"27.048561, 75.905502",56
74,"Bara Bungalow Kalwar, Jaipur - A Rosakue Collection",,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Mundota Rd, Jaipur, Rajasthan, 303706",Jaipur,India,"26.988415, 75.584973",128
75,Hotel Rock land By Tuma Hotels,,,"['Free WiFi', 'Parking included', 'Restaurant', 'Breakfast available', 'Business services', 'Room service']","S-8, Shri Gopal Nagar, Gopalpura By-Pass, (Main Road), Jaipur, Rajasthan, 302019",Jaipur,India,"26.877464, 75.772411",33
76,Cambay Grand,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Sp -36B Riico Industrial Area, Delhi-Jaipur Highway, Amer, Rajasthan, 303101",Jaipur,India,"27.031372, 75.895426",31
78,Devraj Niwas Boutique Hotel,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Khasa Kothi Crossing, Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.921546, 75.793836",28
79,Hotel Marc Inn,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","S-5, 6, Amrapali Circle, Vaishali Nagar, Jaipur, Rajasthan, 302021",Jaipur,India,"26.911524, 75.742198",25
80,Milestone 251,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","D 251, Devi Marg, Jaipur, Rajasthan, 302016",Jaipur,India,"26.926655, 75.78987",26
81,Hotel Sarang Palace,3.8,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","A-40, Subhash Nagar, Jaipur, Rajasthan, 302016",Jaipur,India,"26.931789, 75.79339",22
82,Clarks Amer,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Jawahar Lal Nehru Marg, Jaipur, Rajasthan, 302018",Jaipur,India,"26.845953, 75.802419",334
83,Hotel Sumaditya,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","A-16B, Sikar Road, Ambabari, Vidhyadhar Nagar, Jaipur, Rajasthan, 302039",Jaipur,India,"26.94357, 75.773674",31
85,Hotel The Queens,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Restaurant', 'Breakfast available', 'Business services']","Durga Marg, Jaipur, RJ, 302016",Jaipur,India,"26.925506, 75.78949",24
86,OYO 2730 Hotel Ethnic Residency,,,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","Plot No. 5/301, Girdhar Marg, Malviya Nagar, Jaipur, Rajasthan, 302017",Jaipur,India,"26.847277, 75.806459",84
87,Hotel Classic Inn,4.1,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","96 Badodiya Scheme, Railway Station, Kabir Marg, Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.922258, 75.790977",27
88,Hotel Mahadev resency,,,"['Air conditioning', 'Free WiFi', 'Restaurant', 'Breakfast available', 'Business services', 'Room service']","vivek nagar near bus station road, Jaipur, RJ, 302016",Jaipur,India,"26.92395, 75.79969",19
89,Hotel Pearl Palace,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","51 Hathroi Fort Hari Kisan Somani Marg, Ajmer Road, Jaipur, RJ, 302001",Jaipur,India,"26.91619, 75.79565",27
90,Nirwana Hometel Jaipur - A Sarovar Hotel,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Gym']","4 - D Villa, Khasa Kothi Circle, Station Road, Jaipur, Rajasthan, 302001",Jaipur,India,"26.920941, 75.795062",38
91,R41- A Boutique Hotel,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Housekeeping']","Plot no. 41, Rathod Nagar Vaishali Nagar, Jaipur, Rajasthan, 302021",Jaipur,India,"26.909889, 75.751774",45
92,Treebo Trend Bliss Raja Park,4.0,Very Good,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","289, Lane No. 6, Vaishno Devi Marg, Panchwati Circle, Raja Park, Jaipur, Rajasthan, 302004",Jaipur,India,"26.892016, 75.829269",23
93,Treebo Trend Woodsvilla Suites Bapu Nagar,4.1,Very Good,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Kitchen']","B - 136 A, Rajendra Marg, Bapu Nagar, Near Janta Store Crossing, Jaipur, 302015",Jaipur,India,"26.889815, 75.80887",28
94,Hotel Rockland,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","263, Frontier Colony, Adarsh Nagar, Opposite Dusshera Maidan, Jaipur, Rajasthan, 302004",Jaipur,India,"26.89854, 75.83181",41
95,Golden Eagle Hotels & Resorts,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","200 Feet Bypass Road, 3, 4, 5A, B, Ajmer Rd, Flyover, Patel Nagar, Jaipur, Rajasthan, 302034",Jaipur,India,"26.88603, 75.731959",27
96,Hotel VB Heritage Heights,,,"['Free WiFi', 'Parking included', 'Restaurant', 'Gym', 'Breakfast available', 'Business services']","A-6 Fateh Tiba Rd, Jaipur, RJ, 302004",Jaipur,India,"26.90832, 75.82425",35
97,Hotel Sarvmangla Garden,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Restaurant', 'Breakfast available', 'Business services']","Opp. Sylvan Bio-Diversity Forest Park, Agra - Jaipur Road, Sumel Rd, Jaipur, Rajasthan, 302031",Jaipur,India,"26.885631, 75.911098",37
98,Vesta Maurya Palace,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","S-35A, Arvind Marg, Jaipur, Rajasthan, 302001",Jaipur,India,"26.915287, 75.811278",21
99,Hotel Gitanjali,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Business services']","Near JECC, Van Vihar, Sitapura, Tolltax, Jaipur, Rajasthan, 302015",Jaipur,India,"26.790275, 75.818994",16
100,Hotel Vimal Heritage,4.0,Very Good,"['Hot Tub', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","148, A/2 Durga Marg, Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.928524, 75.785577",27
101,Hotel Royal Amer City,,,"['Free airport shuttle', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Opp. Bharmal Chatriyan Delhi Road, Jaipur, Amer, Rajasthan, 302028",Jaipur,India,"26.998091, 75.876274",16
102,Sarovar Premiere Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Lal Kothi, Tonk Road, Sahakar Marg, Jaipur, Rajasthan, 302015",Jaipur,India,"26.881962, 75.797315",55
