hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,location,hotel_price
14,"Four Points by Sheraton Jaipur, City Square",4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","City Square, Vasundhara Colony, Tonk Road, Jaipur, Rajasthan, 302018",India,"26.863574, 75.796034",61
15,Umaid Bhawan - A Heritage Style Boutique Hotel,4.3,Excellent,"['Breakfast included', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Behari Marg, Bank Road, bani Park, Jaipur, Rajasthan, 302016",India,"26.92844, 75.79236",63
16,Le Méridien Jaipur Resort & Spa,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Number 1, RIICO, Amer, Rajasthan, 302028",India,"27.032676, 75.888939",114
17,Radisson Jaipur City Center,4.0,Very Good,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Khasa Kothi Circle, M.I. Road, Jaipur, Rajasthan, 302001",India,"26.920224, 75.794316",60
18,"Devi Ratn, Jaipur -IHCL SeleQtions",4.7,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Pool']","Jamdoli, Agra Road, Tehsil Ballupura, Jaipur, Rajasthan, 302031",India,"26.916746, 75.880932",208
19,Chokhi Dhani Resort Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","12th Mile, Tonk Road, via Vatika, Jaipur, Rajasthan, 303905",India,"26.767058, 75.836825",114
20,The Leela Palace Jaipur,4.7,Exceptional,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Jaipur-Delhi Highway NH11, Kookas, Jamwa Ramgarh, Rajasthan, 302028",India,"27.048078, 75.902651",201
21,Radisson Blu Jaipur,3.8,Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Plot No 5 & 6 Airport Plaza, Tonk Road, Jaipur, Rajasthan, 302018",India,"26.842498, 75.793736",74
22,Umaid Mahal - A Heritage Style Boutique Hotel,4.3,Excellent,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","C-20/B2 Behari Marg Bani Park, Jaipur, Rajasthan, 302016",India,"26.927879, 75.78891",46
23,Buena Vista Luxury Resort,4.5,Wonderful,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Village Pilli Ki Talai, Delhi Bypass Rd, Jaipur District, Amer, Rajasthan, 302028",India,"26.984625, 75.906878",322
24,Alsisar Haveli - A Heritage Hotel,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Sansar Chandra Road, Jaipur, Rajasthan, 302001",India,"26.922864, 75.804215",101
25,Rajmahal Palace RAAS,4.4,Excellent,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Sadar Patel Marg, Jaipur, Rajasthan, 302001",India,"26.903559, 75.792821",516
26,Royal Heritage Haveli,4.4,Excellent,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Khatipura Tiraya, Khatipura Road, Jaipur, Rajasthan, 302012",India,"26.925373, 75.745785",142
27,Ramada by Wyndham Jaipur,4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Govind Marg Raja Park, Jaipur, Rajasthan, 302004",India,"26.896044, 75.829106",90
28,Umaid Haveli Hotel & Resorts,3.8,Good,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","CP-5 RIICO Kukas, Amer, Rajasthan, 302028",India,"27.029656, 75.89593",108
29,Ramada by Wyndham Jaipur North,,,"['Breakfast included', 'Air conditioning', 'Free WiFi', 'Parking included', 'Pool', 'Restaurant']","A-2/3/11/12, Metal Colony Sikar Road, Opposite Bhawani Niketan School, Jaipur, RJ, 302023",India,"26.947762, 75.77337",57
30,Doubletree by Hilton Jaipur Amer,4.6,Wonderful,"['Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant', 'Gym']","935 Kukas Delhi Road, Jamwa Ramgarh, Rajasthan, 302028",India,"27.046302, 75.905236",161
31,Sarovar Premiere Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant temporarily unavailableRestaurant']","Lal Kothi, Tonk Road, Sahakar Marg, Jaipur, Rajasthan, 302015",India,"26.881962, 75.797315",60
32,Narain Niwas Palace,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","J-5, Narayan Singh Road, Jaipur, RJ, 302004",India,"26.899523, 75.813088",88
33,Zone by The Park Bani Park Jaipur,4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant temporarily unavailableRestaurant']","Madhosingh Road, Bani Park, Jaipur, Rajasthan, 302016",India,"26.933869, 75.794125",86
34,Bissau Palace,3.6,Good,"['Hot Tub', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Khetri House Road, Near Saroj Cinema, Outside Chandpole Gate, Jaipur, Rajasthan, 302016",India,"26.929905, 75.807597",67
35,ibis Jaipur Civil Lines Hotel,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Civil Lines Area, Ajmer Road, Near Civil Lines Metro Station, Jaipur, Rajasthan, 302006",India,"26.90795, 75.779678",47
36,Pearl Palace Heritage,4.8,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Room service']","54 , Gopal Bari, Jaipur, RJ, 302001",India,"26.91593, 75.79243",39
37,Hotel Royal Orchid,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Opposite to BSNL Office, Tonk Road, Near Durgapura Flyover, Durgapura, Jaipur, Rajasthan, 302018",India,"26.84485, 75.793496",56
38,Leisure Inn Grand Chanakya,4.1,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","4 A-B, Kashi Bhawan, Panch Batti, M.I., Jaipur Rajasthan 302001 India, Jaipur, Rajasthan, 302001",India,"26.916507, 75.807764",30
39,Vesta International,3.5,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","S-3, Linking Road, Near Ajmer Pulia, Gopalbadi, Jaipur, Rajasthan, 302001",India,"26.914604, 75.790847",32
40,The Fern Residency Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","A - 13, Govind Marg, Janata Marg, Near Pink Square Mall, Jaipur, Rajasthan, 302004",India,"26.90353, 75.83707",29
41,"Lemon Tree Premier, Jaipur",4.2,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Nirwan Marg, Bani Park, Jaipur, Rajasthan, 302016",India,"26.930335, 75.799828",94
42,Clarion Inn Jaipur,4.0,Very Good,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","CP-3 Riico Industrial Area, Jaipur, Amer, 303101",India,"27.030143, 75.894942",94
43,"Bara Bungalow Kalwar, Jaipur - A Rosakue Collection",,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Mundota Rd, Jaipur, Rajasthan, 303706",India,"26.988415, 75.584973",94
44,Crimson Park - The Heritage,4.5,Wonderful,"['Breakfast included', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","Amer Road, Near Jal Mahal, Jaipur, Rajasthan, 302001",India,"26.949659, 75.841922",67
45,Om Niwas Suite Hotel,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Kitchen']","E - 23, Kaushalya Path, Durga Marg, Bani Park, Jaipur, Rajasthan, 302001",India,"26.930366, 75.793914",50
46,Hotel Empire Regency,,,"['Free WiFi', 'Parking included', 'Pool', 'Restaurant', 'Breakfast available', 'Business services']","D-1, Madho Singh Road, Nr. Collectorate Circle, Banipark, Jaipur, Rajasthan, 302016",India,"26.928404, 75.793246",60
47,Khas Bagh,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Village Natata, Amer, Rajasthan, 302028",India,"27.01501, 75.92018",73
48,"Tree of Life Chhota Mahal, Amer, Jaipur",,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Pet friendly', 'Pool', 'Restaurant']","BARA BUNGALOW AMER, KAMAL BAGH, Amer, Amer, Rajasthan, 302028",India,"27.014391, 75.892709",96
49,Hotel De Nada,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","9/C/1 Malviya Nagar, Sector 9, Jaipur, Jaipur, Rajasthan, 302017",India,"26.84727, 75.80847",58
50,Barwara Kothi,4.6,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","5, Jacob Road, Civil Lines, Jaipur, Rajasthan, 302006",India,"26.911709, 75.787926",67
51,Comfort Inn Sapphire,4.2,Very Good,"['Breakfast included', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","C-5, New Colony, Near Panchbatti Circle, M I Road, Jaipur, Rajasthan, 302001",India,"26.911672, 75.824325",47
52,The Fern - An Ecotel Hotel Jaipur,3.7,Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","3, Airport Plaza , Nr.Durgapura, Tonk Road, Jaipur, Rajasthan, 3020018",India,"26.842631, 75.794227",64
53,Sarovar Portico Jaipur,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Plot No 90,Bhan Nagar, Prince Road,Queens Road,Vaishali, Jaipur, Rajasthan, 302021",India,"26.902716, 75.752208",107
54,Dera Rawatsar - Heritage Hotel,4.6,Wonderful,"['Free airport shuttle', 'Breakfast included', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry']","D-194/C, Vijay Path, Bani Park, Jaipur, Rajasthan, 302016",India,"26.925349, 75.800807",50
55,County Inn Hotel,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","268 Vaishali Marg, Nemi Sagar Colony, Hanuman Nagar, Jaipur, RJ, 302021",India,"26.915164, 75.752316",97
56,Khandwa Haveli,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Business services']","Ambabari, Sikar Road, Jaipur, Rajasthan, 302039",India,"26.943982, 75.773508",43
57,Royal Orchid Central Jaipur,3.8,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","A-26, A / 2, Jaisingh Highway, Bani Park, Jaipur, Rajasthan, 302016",India,"26.897075, 75.81047",53
58,Hotel 360,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","8th Floor, Anukampa Plaza, Nr Rajmandir, Bhagwandas Road, C Scheme, Jaipur, Rajasthan, 302001",India,"26.914525, 75.809592",27
59,Sanskar Prime Hotel,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","12-13, DCM, Ajmer Road, Jaipur, Rajasthan, 302021",India,"26.890951, 75.742003",42
60,Hotel Cordon Vay,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Breakfast available', 'Housekeeping', '24/7 front desk']","B-31, Mahalakshmi Nagar, Behind WTP, JLN Marg, Jaipur, Rajasthan, 302017",India,"26.852518, 75.805354",19
61,Pink Pearl Resort and Fun City,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool temporarily unavailablePool', 'Restaurant']","10th Mile, Ajmer Express Highway, Jaipur, Rajasthan, 302026",India,"26.860192, 75.668765",31
62,Hotel Silver Pride,4.4,Excellent,"['Free airport shuttle', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","302 Maharani Farm, Mahaveer Nagar 2nd, Near Airport, Durgapura, Tonk Road, Jaipur, Rajasthan, 302018",India,"26.852625, 75.779392",25
63,Hotel Royal Empire,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","83,Girdhar Marg, JLN Marg,Near Fortis, Airport Zone, Jaipur, Rajasthan, 302017",India,"26.84771, 75.8062",51
64,Kapish Home - Heritage Virtuous Stay,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","B-133, Mahal yojna, Opp Tagore Public School,Jagatpura, Jaipur, Rajasthan, 302033",India,"26.934452, 75.792093",29
65,Laxmi Palace Heritage Boutique Hotel,3.8,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant temporarily unavailableRestaurant']","D-194/B, Jagdish Marg, near Sindhi Camp Bus Stn, Bani Park, Jaipur, Rajasthan, 302016",India,"26.925227, 75.80112",36
66,Hotel Dev Villas,5.0,Exceptional,"['Air conditioning', 'Free WiFi', 'Laundry', 'Restaurant', 'Business services', 'Bar']","Metro Pillar no. 57, Gopalpura bypass road, Jaipur, Rajasthan, 302019",India,"26.87983, 75.76426",36
67,Hotel Triveni Residency,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Housekeeping']","Plot No 1, Satya Vihar Colony, Near Vidhansabha, Lalkothi, Jaipur, Rajasthan, 302015",India,"26.892026, 75.800203",16
