hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
49,Kuchaman Haveli,,,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Pool']","Inside Merti Gate, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.295558, 73.028365",34
52,Parkk Boutique Jodhpur,,,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Restaurant']","B1-B4 Ghanshyam Bhawan, Mandore Road Paota, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.30087, 73.038479",43
53,Chhotaram Prajapat,4.6,Wonderful,"['Free airport shuttle', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant']","Village-Salawas, Kumharon Ki Dhani, Near Gosala, Jodhpur, Rajasthan, 342804",Jaisalmer,India,"26.11745, 72.981813",32
54,Shree Mohan Villas- Heritage Hotel,,,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Restaurant']","17, L.I.C. Colony, Umaid Club Road, Rai Ka Bagh, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.288426, 73.035306",12
55,Moustache Jodhpur,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Housekeeping']","FORT ROAD, OPPOSITE IRANI MASJID, SHIP HOUSE, PAOTA, Jodhpur, RAJASTHAN, 342001",Jaisalmer,India,"26.301348, 73.035454",15
56,Osian The Desert Boutique Hotel,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Pool', 'Restaurant', 'Room service']","Pratap Nagar, Old Phalodi Road, Osian, Rajasthan, 342303",Jaisalmer,India,"26.740288, 72.882832",54
57,Hariyali Dhani Camps and Resorts,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included']","NH-114, Jodhpur –Jaisalmer Road, 51 Miles, Shergarh, Rajasthan, 342023",Jaisalmer,India,"26.453965, 72.426391",80
58,"Fort Khejarla, Jodhpur",,,"['Hot Tub', 'Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included']","Fort Khejarla, Village Khejarla, Via Bilara, Jodhpur(Raj), Jodhpur, Bilara, Rajasthan, 342306",Jaisalmer,India,"26.327884, 73.682041",98
60,Rani Mahal,4.0,Very Good,"['Free WiFi', 'Laundry', 'Restaurant', 'Breakfast available', 'Business services', 'Bar']","Fort Road, Navchokia, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.296211, 73.01438",
61,OYO 6915 Hotel Marwar Regency,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Parking included', 'Room service', 'Housekeeping']","Paota C Road, BJS Colony, Opposite Ankur Hospital, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.305958, 73.058098",
62,Pal Garh Heritage Hotel,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pool']","Pal Garh, Pal village, Jodhpur, Jodhpur, 342001",Jaisalmer,India,"26.219796, 72.960795",
63,Chandra Imperial,5.0,Exceptional,"['Free WiFi', 'Air conditioning', 'Laundry', 'Restaurant', 'Breakfast available', 'Business services']","34, SARDAR CLUB SCHEME, OPP. POLO GROUND, RATANADA, Jodhpur, Rajasthan, 342011",Jaisalmer,India,"26.262826, 73.036033",
64,Hotel Yash International,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Restaurant', 'Breakfast available', 'Bar']","Plot No. A-21 & A-42, Aakhaliya Chouraha, Soorsagar Road, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.279703, 72.990996",
65,Treehouse Amaara- Pure Vegetarian Resort,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pool', 'Restaurant']","Opposite Filter House, Chopasni Road, Inside Funworld, Jodhpur, Rajasthan, 342008",Jaisalmer,India,"26.262812, 72.959076",
66,Hotel Aarunya Royale,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Business services']","DPS Circle, Jodhpur, RJ, 342008",Jaisalmer,India,"26.237761, 72.952837",
67,Hotel Sheetal,,,"['Free WiFi', 'Air conditioning', 'Parking included', 'Restaurant', 'Breakfast available', 'Business services']","Plot Number 3, Parshvanath Colony, Kaylana Circle, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.295335, 72.99232",
68,OYO 1395 Hotel Gandhi International,4.7,Exceptional,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant']","Plot no 346-A, 4th B Road, Sardarpura, Jodhpur, Rajasthan, 342003",Jaisalmer,India,"26.278378, 73.007066",
69,Pioneer Plaza Jodhpur,,,"['Free WiFi', 'Laundry', 'Restaurant', 'Breakfast available', 'Business services', 'Room service']","B-15-16,Hanwant Vihar,Rai Ka Bagh, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.28798, 73.03625",
70,OYO 11973 Badri Palace,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Pool', 'Restaurant']","Hotel Badri Palace,Opp. Filter House, Chopasani Rd,Chopasni Housing Board, Jodhpur, 342001",Jaisalmer,India,"26.26371, 72.96086",
71,OYO 17368 Ranibagh Palace,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Room service', 'Housekeeping', '24/7 front desk']","117118, Jhalamand To Lalki Via Jhalamand, Jodhpur, Rajasthan, 342005",Jaisalmer,India,"26.21202, 73.06246",
