rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
482,Saffron,https://www.zomato.com/jaipur/saffron-kukas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Indana Palace, Jaipur-Delhi Highway, Kukas, Jaipur",Jaipur,27.0148415149,75.8800222725,7 PM to 11 PM,0.0,North Indian,"['Cash', 'Debit Card', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Table booking recommended', 'Air Conditioned', 'Valet Parking Available', 'Indoor Seating', '4/5 Star']"
483,Flavors,https://www.zomato.com/jaipur/flavors-kukas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shiv Vilas Resort, NH-8, Kukas, Jaipur",Jaipur,27.0520803642,75.9115281701,7:30 AM to 10:30 PM,0.0,"Continental, Rajasthani","['Breakfast', 'Cash', 'Lunch', 'Credit Card', 'Dinner', 'Debit Card', 'Air Conditioned', 'Indoor Seating', '4/5 Star', 'Valet Parking Available', 'Beer', 'Wine']"
484,Sheesh Mahal,https://www.zomato.com/jaipur/sheesh-mahal-kukas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shiv Vilas Resort, NH-8, Kukas, Jaipur",Jaipur,27.052104849000003,75.9114738554,7:30 AM to 10:30 PM,0.0,"Mughlai, North Indian","['Debit Card', 'Lunch', 'Dinner', 'Cash', 'Breakfast', 'Credit Card', 'Valet Parking Available', 'Fullbar', 'Indoor Seating', 'Air Conditioned', '4/5 Star']"
485,Oriental Bay,https://www.zomato.com/jaipur/oriental-bay-kukas?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shiv Vilas Resort, NH-8, Kukas, Jaipur",Jaipur,27.0520131804,75.91150302439999,"12:30 PM to 3:30 PM, 7:30 PM to 10:30 PM",0.0,"Continental, Chinese","['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Fullbar', '4/5 Star', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended']"
491,Mughal Hotel,https://www.zomato.com/jaipur/mughal-hotel-hasanpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"55 & 56, NBC, Hasanpura, Jaipur",Jaipur,26.9157949923,75.7754489779,8 AM to 11 PM,3.7,"North Indian, Mughlai","['Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Digital Payments Accepted']"
492,Sangam Bhojanalaya,https://www.zomato.com/jaipur/sangam-bhojanalaya-mansarovar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"119/469, SFS Crossing, Agarwal Farm, Mansarovar, Jaipur",Jaipur,26.8416727967,75.7707098499,"10am – 12noon (Mon),11am – 4:30pm, 6pm – 12midnight (Tue-Sun)",3.0,North Indian,"['Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Pure Veg', 'Indoor Seating', 'Digital Payments Accepted']"
493,Shree Neelam Dhaba,https://www.zomato.com/jaipur/shree-neelam-dhaba-mansarovar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"94-S-10, Vijay Path Chauraha, Agarwal Farm, Mansarovar, Jaipur",Jaipur,26.848197428,75.770136863,11 AM to 11 PM (Mon-Sun),3.8,North Indian,"['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Takeaway Available', 'Credit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']"
494,Shree Gopi Pavitra Bhojnalya,https://www.zomato.com/jaipur/shree-gopi-pavitra-bhojnalya-pink-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"246, Chaura Rasta, Pink City, Jaipur",Jaipur,26.9223135525,75.8223463967,"11 AM to 4:30 PM, 6 PM to 11 PM",4.0,North Indian,"['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Indoor Seating', 'Pure Veg', 'Air Conditioned']"
495,Dhaba Express,https://www.zomato.com/jaipur/dhaba-express-mansarovar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Vijaypath Chauraha, Agarwal Farm, Mansarovar, Jaipur",Jaipur,26.8481597369,75.7700651139,11 AM to 11 PM,3.4,North Indian,"['Cash', 'Takeaway Available', 'Lunch', 'Dinner', 'Pure Veg', 'Digital Payments Accepted', 'Outdoor Seating', 'Indoor Seating']"
496,Pali's Pure Veg Dhaba,https://www.zomato.com/jaipur/palis-pure-veg-dhaba-raja-park?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 2, Poonia Complex, Panchwati Circle, Raja Park, Jaipur",Jaipur,26.8952174295,75.8306139708,"12:30PM to 5PM, 7PM to 12Midnight (Mon),12:30PM to 5PM, 7PM to 11:30PM (Tue-Sun)",4.1,"North Indian, Rajasthani","['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']"
497,Sharma Dhaba & Garden,https://www.zomato.com/jaipur/sharma-dhaba-garden-sikar-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"G 445 (1), Road 12, Opposite Petrol Pump, VKI Area, Sikar Road, Jaipur",Jaipur,26.9925513727,75.7728321478,11 AM to 10:30 PM,3.6,North Indian,"['Cash', 'Debit Card', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Lunch', 'Indoor Seating', 'Outdoor Seating', 'Air Conditioned', 'Pure Veg']"
498,Ganesham Rasoi,https://www.zomato.com/jaipur/ganesham-rasoi-tonk-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"86/196-198, Khumba Marg, Pratap Nagar, Near Tonk Road, Jaipur",Jaipur,26.7994748369,75.8174010739,"11 AM to 4 PM, 7 PM to 10:30 PM",3.6,North Indian,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']"
