rest_id,rest_name,rest_url,rest_address,city,country,latitude,longitude,location_url,rest_timing,rest_rating,rest_review,rest_about,cuisines,features,meals
11,Abu Safari Restaurant,http://www.abusafari.in,"Ring Road front of Fort,, Jaisalmer 345001 India",Jaisalmer,India,26.911358,70.91331,"https://maps.google.com/maps?saddr=&daddr=Ring+Road+front+of+Fort%2C%2C+Jaisalmer+345001+India@26.911358,70.91331",12:00 AM - 11:59 PM,5.0 ,346,"Abu Jaisalmer Cafe , welcomes you with the best view in town and a great variety of local and international cuisines. In addition to a broad variety of really good food and an amazing dining experience your stay in Jaisalmer will be unforgettable with our amazing room & rooftop view of the famous Fort Jaisalmer. You'll be mesmerised looking at the sun rise as well as set & also as the moon takes over, you'll enjoy stargazing under the night sky of this beautiful city","American, Chinese, Indian, European, Asian","Reservations, Outdoor Seating, Seating, Street Parking, Validated Parking, Serves Alcohol, Cash Only, Free Wifi, Table Service",None
13,Thakur ji Restaurant,http://www.thakurjirestaurant.com,"Ring Road Fort Parking, Dibba Para, Jaisalmer 345001 India",Jaisalmer,India,26.911728,70.91489,"https://maps.google.com/maps?saddr=&daddr=Ring+Road+Fort+Parking%2C+Dibba+Para%2C+Jaisalmer+345001+India@26.911728,70.91489",09:00 AM - 11:00 PM,4.5 ,258,None,"Indian, International, Asian",None,None
14,shahi palace roof top restaurant,http://www.shahipalacehotel.com,"Shahi Palace Hotel Silawata Para , Shiv Street, Jaisalmer 345001 India",Jaisalmer,India,26.91221,70.910126,"https://maps.google.com/maps?saddr=&daddr=Shahi+Palace+Hotel+Silawata+Para+%2C+Shiv+Street%2C+Jaisalmer+345001+India@26.91221,70.910126",08:00 AM - 11:00 PM,4.5 ,173,None,"Indian, International","Outdoor Seating, Seating, Serves Alcohol, Table Service, Reservations, Free Wifi",None
15,Shanti The Peace Restaurant,,"Inside Fort, Jaisalmer 345001 India",Jaisalmer,India,26.912195,70.91445,"https://maps.google.com/maps?saddr=&daddr=Inside+Fort%2C+Jaisalmer+345001+India@26.912195,70.91445",08:00 AM - 11:00 PM,4.5 ,252,None,"Indian, Asian","Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Free Wifi, Table Service",None
16,Gaji's Restaurant,http://gaji-jaisalmer-in.book.direct/en-gb/dining,"On Roof-Top of Gaji Hotel, Kalakar Colony Near Sunset Point, Jaisalmer 345001 India",Jaisalmer,India,26.91898,70.912,"https://maps.google.com/maps?saddr=&daddr=On+Roof-Top+of+Gaji+Hotel%2C+Kalakar+Colony+Near+Sunset+Point%2C+Jaisalmer+345001+India@26.91898,70.912",07:00 AM - 11:00 PM,4.5 ,773,"Welcome at Gaji’s Restaurant Jaisamer located Near the Sunset Point,Jaisalmer. Our restaurant is famous for Group, Family, Kids, and Business People. We served Breakfast, Lunch & Dinner and just a drink after a busy day. Our rooftop terrace offers stunning sunset and sunrise views of the spectacular Golden Fort, Mandir Palace, & City View. A place to meet other people or just to relax in a hammock. In our restaurant on our rooftop terrace with a variety of Korean Food, Indian dishes, Rajasthani, Indian Thali, Chinese, Italian and other food.","Chinese, Indian, Korean","Seating, Cash Only, Free Wifi, Takeout, Reservations, Outdoor Seating, Street Parking, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Table Service",None
17,Tokyo Roof Top Restaurant,http://tokyopalace.net/ourhotel/restau,"Airforce Chouraha Hotel Tokyo Palace Roof Top Restaurant Near Fort Near Fort, Airforce Chouraha, Dhibba Para, Jaisalmer 345001 India",Jaisalmer,India,26.90972,70.91295,"https://maps.google.com/maps?saddr=&daddr=Airforce+Chouraha+Hotel+Tokyo+Palace+Roof+Top+Restaurant+Near+Fort+Near+Fort%2C+Airforce+Chouraha%2C+Dhibba+Para%2C+Jaisalmer+345001+India@26.90972,70.91295",07:00 AM - 11:00 PM,4.5 ,464,HOTEL TOKYO PALACE has a roof-top restaurant which overlooks the Jaisalmer monumental castle.,None,"Television, Highchairs Available, Takeout, Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Street Parking, Free off-street parking, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards, Table Service",None
18,The Jaisal Treat,http://the-jaisal-treat.business.site/,"Bera Road Opp Nagarpalika Puskarna, bera road, Jaisalmer 345001 India",Jaisalmer,India,26.903128,70.9127,"https://maps.google.com/maps?saddr=&daddr=Bera+Road+Opp+Nagarpalika+Puskarna%2C+bera+road%2C+Jaisalmer+345001+India@26.903128,70.9127",11:30 AM - 4:30 PM6:30 PM - 10:30 PM,4.5 ,654,None,"Indian, Asian","Gift Cards Available, Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service",None
19,The Lal Garh,http://www.lalgarhfortandpalace.com,"Kalakar Colony Patwa Havali Road, Jaisalmer 345001 India",Jaisalmer,India,26.918715,70.91221,"https://maps.google.com/maps?saddr=&daddr=Kalakar+Colony+Patwa+Havali+Road%2C+Jaisalmer+345001+India@26.918715,70.91221",:  See all hours,5.0 ,753,None,"Indian, Austrian, African",None,None
20,Restaurant Romany,http://www.restaurantromany.com,"Near, On Rooftop Hotel Chirag Haveli , Fort Rd, Dhibba Para On Rooftop Hotel Chirag Haveli, Jaisalmer 345001 India",Jaisalmer,India,26.911203,70.914406,"https://maps.google.com/maps?saddr=&daddr=Near%2C+On+Rooftop+Hotel+Chirag+Haveli+%2C+Fort+Rd%2C+Dhibba+Para+On+Rooftop+Hotel+Chirag+Haveli%2C+Jaisalmer+345001+India@26.911203,70.914406",07:30 AM - 10:30 PM,5.0 ,954,None,"Indian, International, Asian",None,None
21,Free Tibet,http://www.facebook.com/pages/Free-Tibet/502216413290198,"Inside Fort, Jaisalmer India",Jaisalmer,India,26.912378,70.91434,"https://maps.google.com/maps?saddr=&daddr=Inside+Fort%2C+Jaisalmer+India@26.912378,70.91434",07:00 AM - 10:30 PM,4.5 ,"1,265",None,"Chinese, Indian, Asian",None,None
