hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
44,Shouryagarh Resort & Spa,3.8,Very Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Near Shilpgram, Rani Road, Fateh Sagar Village Hawala Khurd, Udaipur, Rajasthan, 313001",Udaipur,India,"24.606345, 73.659808",67.0
45,Amantra Shilpi Resort & Spa,4.8,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Pool']","Adjacent Shilpgram, Rani Road, Udaipur, RJ, 313001",Udaipur,India,"24.6094, 73.661",78.0
46,Aravali Silence Lakend Resorts & Adventures,4.8,Exceptional,"['Air conditioning', 'Breakfast included', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Nathawato ka Guda, Lake Badi, Udaipur, Rajasthan, 313001",Udaipur,India,"24.620361, 73.614452",195.0
47,Palm Valley Svasti Resort,4.7,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Pool', 'Restaurant', 'Breakfast available']","Jhadol Road, Udaipur, Rajasthan, 313901",Udaipur,India,"24.530722, 73.639869",37.0
48,Treebo Trend Vishvam Residency,4.4,Wonderful,"['Free WiFi', 'Breakfast included', 'Parking included', 'Laundry', 'Restaurant', 'Housekeeping']","2A Block Nr GV Police Station Hiran Magr, Opp Satyam Complex Goverdhan Vilas Ajmer, Udaipur, Rajasthan, 313001",Udaipur,India,"24.56391, 73.71026",35.0
49,Akshay Niwas,3.9,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","7, Haridas Ji Ki Magri, next to Oberoi Udai Vilas, Udaipur, Rajasthan, 313002",Udaipur,India,"24.579342, 73.669474",63.0
50,Devraj Villa-A Luxury Homestay with Pool,4.7,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Shikarbadi Rd, Udaipur, RJ, 313002",Udaipur,India,"24.547345, 73.68189",134.0
51,Vijay Garh Resort Udaipur,4.4,Wonderful,"['Free WiFi', 'Parking included', 'Pool', 'Restaurant', 'Room service', 'Housekeeping']","Vijay Garh Resort, Tiger Hills Near Pratap Gaurav Kendra, Udaipur, RJ, 313011",Udaipur,India,"24.62551, 73.6691",44.0
52,Shree Kanak Hotel,3.6,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","328 - A Sevashram Circle airport Road, Udaipur, Rajasthan, 313001",Udaipur,India,"24.58208, 73.72172",60.0
53,Horizon Hotel,3.8,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Business services']","57/2 Nr. Raymond Shop, Sukhadia Circle, Udaipur, Rajasthan, 313001",Udaipur,India,"24.60008, 73.690471",38.0
54,Hotel Grand Bhagwat,3.8,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant temporarily unavailableRestaurant']","behind guru nanak school, shastri circle, Udaipur, rajasthan, 313001",Udaipur,India,"24.586777, 73.698177",35.0
55,"The Artist House, Udaipur",4.6,Exceptional,"['Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available', 'Bar']","Ashoka Cinema Rd, Thakkre Baba Conlony, Surajpole, Nada Khada, Udaipur, Rajasthan, 313001",Udaipur,India,"24.58037, 73.696733",71.0
56,Hotel Sanobar,3.5,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Business services']","2 1 Dholi Magri Shivaji, Nagar City Station Road, Udaipur, Rajasthan, 313001",Udaipur,India,"24.573308, 73.699712",31.0
57,Shree Jagdish Mahal Heritage Hotel,5.0,Exceptional,"['Air conditioning', 'Free WiFi', 'Breakfast included', 'Laundry', 'Pet friendly', 'Restaurant']","SETH JI KI HAVELI, NEAR VIDYA NIKETAN SCHOOL RAO JI KA HATA, Udaipur, Rajasthan, 313001",Udaipur,India,"24.579939, 73.686693",18.0
